Place's name,Place's rank,Place's type,Place's status,Place's time,Place's images,Place's url,Place's rate,Place's total reviewer,Place's 5 points,Place's 4 points,Place's 3 points,Place's 2 points,Place's 1 points,retrived_date,Province
Attic Cocktail & Wine Lab,Số 65 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,5,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d18968195-Reviews-Attic_Cocktail_Wine_Lab-Hanoi.html,5,2,2,0,0,0,0,4/21/2022,Hà Nội
Cỏ Mềm,Số 173 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 21:30,21,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d18929741-Reviews-Co_Mem_177_Ba_Trieu-Hanoi.html,5,2,2,0,0,0,0,4/21/2022,Hà Nội
Consocia Arts and Crafts Workshops,Số 80 trên 101 Vui chơi & Giải trí ở Hà Nội,Xưởng vẽ & làm đồ gốm,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d18894274-Reviews-Consocia_Arts_and_Crafts_Workshops-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Shark Club,Số 60 trên 158 Giải trí về đêm ở Hà Nội,Câu lạc bộ khiêu vũ & vũ trường,,,13,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d18854398-Reviews-Shark_Club_Hanoi-Hanoi.html,4,5,4,0,0,0,1,4/21/2022,Hà Nội
Outsiders Mfg.co,Số 361 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d18816093-Reviews-Outsiders_Mfg_co-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
The Drink House,Số 137 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17793447-Reviews-The_Drink_House-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Vita Spa,Số 6 trên 101 Vui chơi & Giải trí ở Hà Nội,Xưởng vẽ & làm đồ gốm • Trung tâm & trại thể thao,,,14,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17746588-Reviews-Vita_Spa-Hanoi.html,5,37,36,0,0,1,0,4/21/2022,Hà Nội
Excellence Spa Hạ Long,Số 144 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17732045-Reviews-Excellence_Spa_Ha_Long-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Excellence Spa Time City,Số 209 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17732033-Reviews-Excellence_Spa_Time_City-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
The Room -Escape Live-,Số 13 trên 101 Vui chơi & Giải trí ở Hà Nội,Trò chơi giải thoát,Đang mở cửa,09:00 - 22:30,19,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17668230-Reviews-The_Room_Escape_Live-Hanoi.html,5,13,13,0,0,0,0,4/21/2022,Hà Nội
Lotus Spa,Số 18 trên 332 Spa & Sức khỏe ở Hà Nội,Spa • Spa nước nóng,Đang mở cửa,10:00 - 22:00,9,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17612074-Reviews-Lotus_Spa-Hanoi.html,5,116,114,2,0,0,0,4/21/2022,Hà Nội
Bravery Bespoke Tailoring,Số 40 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,08:00 - 21:00,21,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17607047-Reviews-Bravery_Bespoke_Tailoring-Hanoi.html,5,25,25,0,0,0,0,4/21/2022,Hà Nội
Hanoinia,Số 183 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 22:00,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17596608-Reviews-Hanoinia-Hanoi.html,5,2,2,0,0,0,0,4/21/2022,Hà Nội
Hey Club,Số 140 trên 158 Giải trí về đêm ở Hà Nội,Câu lạc bộ khiêu vũ & vũ trường,,,7,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17596494-Reviews-Hey_Club-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Spring Spa,Số 300 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17595548-Reviews-Spring_Spa-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Seen Escape,Số 41 trên 101 Vui chơi & Giải trí ở Hà Nội,Trò chơi giải thoát,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17595525-Reviews-Seen_Escape-Hanoi.html,5,1,1,0,0,0,0,4/21/2022,Hà Nội
Hanoi Corner,Số 301 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 21:00,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17337507-Reviews-Hanoi_Corner-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Leaf Spa,Số 229 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,10:00 - 22:00,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d16882208-Reviews-Leaf_Spa-Hanoi.html,5,1,1,0,0,0,0,4/21/2022,Hà Nội
Trầm Tuệ 01,Số 373 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d16666079-Reviews-Tram_Tue_01-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Old Factory Vietnam - Art & Crafts,Số 57 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,15,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15757699-Reviews-Old_Factory_Vietnam_Art_Crafts-Hanoi.html,5,15,15,0,0,0,0,4/21/2022,Hà Nội
Dolio Leatherworks,Số 168 trên 179 Lớp học & hội thảo ở Hà Nội,Buổi học & hội thảo,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15745878-Reviews-Dolio_Leatherworks-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Shio Spa,Số 179 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 22:00,7,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15354787-Reviews-Shio_Spa-Hanoi.html,5,3,3,0,0,0,0,4/21/2022,Hà Nội
Heros Fitness Yoga,Số 241 trên 332 Spa & Sức khỏe ở Hà Nội,Câu lạc bộ sức khỏe • Yoga & pilate,Đang mở cửa,05:30 - 21:30,23,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15353709-Reviews-Heros_Fitness_Yoga-Hanoi.html,3.5,5,1,2,1,0,1,4/21/2022,Hà Nội
Lụa Tơ Tằm Bá Minh,Số 179 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,08:30 - 19:00,120,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15334693-Reviews-Ba_Minh_Silk-Hanoi.html,5,2,2,0,0,0,0,4/21/2022,Hà Nội
Nhà may Dũng Hạnh,Số 377 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,4,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15327252-Reviews-Dung_Hanh_Bespoke_Clothing-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Pure Bliss Spa,Số 28 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 23:30,65,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15292474-Reviews-Pure_Bliss_Spa-Hanoi.html,5,163,155,8,0,0,0,4/21/2022,Hà Nội
Ga Hostel - Cooking Class,Số 28 trên 179 Lớp học & hội thảo ở Hà Nội,Lớp nấu ăn,Đang mở cửa,"10:00 - 13:00, 17:00 - 20:00",33,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15232631-Reviews-Ga_Hostel_Cooking_Class-Hanoi.html,5,28,27,1,0,0,0,4/21/2022,Hà Nội
Q Bar,Số 93 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,6,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15202922-Reviews-Q_Bar-Hanoi.html,3.5,2,0,1,1,0,0,4/21/2022,Hà Nội
NEL Transport & Travel,Số 332 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15186168-Reviews-NEL_Transport_Travel-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Spa & Thải Độc An Khang,Số 232 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,4,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15186077-Reviews-Spa_Thai_Doc_An_Khang-Hanoi.html,5,1,1,0,0,0,0,4/21/2022,Hà Nội
Ga Gia Lâm,Số 174 trên 346 Phương tiện giao thông ở Hà Nội,Dịch vụ đường sắt,,,7,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15058816-Reviews-Gia_Lam_Railway_Station-Hanoi.html,3,1,0,0,1,0,0,4/21/2022,Hà Nội
Miracle Beauty Skincare,Số 191 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,10:00 - 20:00,25,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14973449-Reviews-Miracle_Beauty_Skincare-Hanoi.html,4.5,4,3,0,0,1,0,4/21/2022,Hà Nội
Spa Hanoi,Số 271 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,5,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14969051-Reviews-Spa_Hanoi-Hanoi.html,2,6,0,1,0,3,2,4/21/2022,Hà Nội
Jigger Cocktail & Wine Bar,Số 25 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ • Quán bar rượu vang,Đang đóng cửa,18:00 - 02:00,40,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14956185-Reviews-Jigger_Cocktail_Wine_Bar-Hanoi.html,5,12,11,0,1,0,0,4/21/2022,Hà Nội
Banyantree spa,Số 88 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,10:00 - 23:00,21,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14795386-Reviews-Banyantree_spa-Hanoi.html,5,23,21,2,0,0,0,4/21/2022,Hà Nội
Giáo Phường Ca Trù Kim Đức,Số 26 trên 30 Nhà hát & hòa nhạc ở Hà Nội,Nhà hát & biểu diễn,,,7,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14776406-Reviews-Kim_Duc_Ca_Tru_Theatre-Hanoi.html,5,2,2,0,0,0,0,4/21/2022,Hà Nội
Lời Của Tre - Phù Sa Lab,Số 17 trên 30 Nhà hát & hòa nhạc ở Hà Nội,Nhà hát & biểu diễn,,,8,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14776399-Reviews-Loi_Cua_Tre_The_Bamboo_Talk_at_Phu_Sa_Lab-Hanoi.html,5,10,9,1,0,0,0,4/21/2022,Hà Nội
Dao Sen Golf,Số 912 trên 949 Hoạt động ngoài trời ở Hà Nội,Sân gôn,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14175861-Reviews-Dao_Sen_Golf-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
DHK Spa,Số 60 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 23:00,6,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14089888-Reviews-DHK_Spa-Hanoi.html,5,59,58,1,0,0,0,4/21/2022,Hà Nội
Rosewood Spa,Số 318 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 23:00,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14078158-Reviews-Rosewood_Spa-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Car For Rent Hanoi,Số 77 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,,,21,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14038806-Reviews-Car_For_Rent_Hanoi-Hanoi.html,5,10,10,0,0,0,0,4/21/2022,Hà Nội
BRG Legend Hill Golf Resort,Số 578 trên 949 Hoạt động ngoài trời ở Hà Nội,Sân gôn,,,11,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14031442-Reviews-BRG_Legend_Hill_Golf_Resort-Hanoi.html,4,5,0,5,0,0,0,4/21/2022,Hà Nội
Bar Dinh,Số 61 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,Đang đóng cửa,18:15 - 02:00,4,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14027994-Reviews-Bar_Dinh-Hanoi.html,5,3,3,0,0,0,0,4/21/2022,Hà Nội
Thuê Xe Máy Giá Rẻ Tại Hà Nội,Số 914 trên 949 Hoạt động ngoài trời ở Hà Nội,Cho thuê tiện ích,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14025626-Reviews-Thue_Xe_May_Gia_Re_Tai_Ha_Noi-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
The Moving Company,Số 116 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,,,9,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14010860-Reviews-The_Moving_Company-Hanoi.html,5,4,4,0,0,0,0,4/21/2022,Hà Nội
Massage & Spa Gia Đình,Số 164 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14004572-Reviews-Massage_Spa_Gia_Dinh-Hanoi.html,5,5,4,1,0,0,0,4/21/2022,Hà Nội
Mộc Foot Massage,Số 147 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,5,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14000172-Reviews-Moc_Foot_Massage-Hanoi.html,5,7,7,0,0,0,0,4/21/2022,Hà Nội
Áo dài Minh Đức - Vietnam Tradition Costume,Số 120 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 18:00,113,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13985465-Reviews-Ao_dai_Minh_Duc_Vietnam_Tradition_Costume-Hanoi.html,5,5,5,0,0,0,0,4/21/2022,Hà Nội
Bảo tàng Nhiếp ảnh Lai Xá,Số 148 trong 259 hoạt động giải trí tại Hà Nội,Phòng trưng bày nghệ thuật,,,5,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13978987-Reviews-Lai_Xa_Photography_Museum-Hanoi.html,5,2,2,0,0,0,0,4/21/2022,Hà Nội
Hanoi Babylon Spa,Số 71 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 22:30,22,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13816711-Reviews-Hanoi_Babylon_Spa-Hanoi.html,5,51,47,2,1,0,1,4/21/2022,Hà Nội
Azura Sapa Limousine,Số 74 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,Đang mở cửa,08:00 - 17:00,22,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13778409-Reviews-Azura_Sapa_Limousine-Hanoi.html,4.5,18,16,0,1,0,1,4/21/2022,Hà Nội
Asia Transport,Số 67 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,Đang mở cửa,09:00 - 21:00,448,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13737841-Reviews-Asia_Transport-Hanoi.html,4.5,38,30,1,1,2,4,4/21/2022,Hà Nội
Ngo Quyen Temple and Tomb,Số 195 trong 259 hoạt động giải trí tại Hà Nội,Đài kỷ niệm & tượng,Đang mở cửa,00:00 - 23:59,7,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13460583-Reviews-Ngo_Quyen_Temple_and_Tomb-Hanoi.html,4,1,0,1,0,0,0,4/21/2022,Hà Nội
Cha All Beauty Center,Số 112 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 19:00,41,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13412865-Reviews-Cha_All_Beauty_Center-Hanoi.html,5,15,15,0,0,0,0,4/21/2022,Hà Nội
Thien Y Art Gallery,Số 114 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 17:00,3,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13347672-Reviews-Thien_Y_Art_Gallery-Hanoi.html,5,5,5,0,0,0,0,4/21/2022,Hà Nội
Penvus Handmade Leather,Số 391 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,15,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13329432-Reviews-Penvus_Handmade_Leather-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Belcholat,Số 152 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 18:30,11,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13276366-Reviews-Belcholat-Hanoi.html,5,4,3,1,0,0,0,4/21/2022,Hà Nội
Huong Sen Healthcare Center,Số 156 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,6,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13229435-Reviews-Huong_Sen_Healthcare_Center-Hanoi.html,5,5,5,0,0,0,0,4/21/2022,Hà Nội
Vincharm Spa,Số 274 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 22:00,9,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13161991-Reviews-Vincharm_Spa-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Donna Spa,Số 266 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,29,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13010084-Reviews-Donna_Spa-Hanoi.html,1,1,0,0,0,0,1,4/21/2022,Hà Nội
Art on Skin Tattoo & Piercing,Số 186 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,10,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13006875-Reviews-Art_on_Skin_Tattoo_Piercing-Hanoi.html,5,2,2,0,0,0,0,4/21/2022,Hà Nội
À Ơi Essentials,Số 197 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,6,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12883834-Reviews-A_Oi_Essentials-Hanoi.html,5,2,2,0,0,0,0,4/21/2022,Hà Nội
Thiền nồi Float Hanoi,Số 85 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 23:45,22,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12848582-Reviews-Float_Hanoi-Hanoi.html,5,29,27,2,0,0,0,4/21/2022,Hà Nội
Viet Lotus Spa,Số 51 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:30 - 22:00,93,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12838171-Reviews-Viet_Lotus_Spa-Hanoi.html,5,83,80,3,0,0,0,4/21/2022,Hà Nội
Hay Bar,Số 25 trên 30 Nhà hát & hòa nhạc ở Hà Nội,Quán bar đồng quê & quán bar phương Tây,,,6,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12821278-Reviews-Hay_Bar-Hanoi.html,3.5,10,4,3,1,0,2,4/21/2022,Hà Nội
MyAnh Silk,Số 392 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,3,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12590750-Reviews-MyAnh_Silk-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Marvel Cooking School,Số 70 trên 179 Lớp học & hội thảo ở Hà Nội,Lớp nấu ăn,,,5,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12590712-Reviews-Marvel_Cooking_School-Hanoi.html,5,6,6,0,0,0,0,4/21/2022,Hà Nội
Interbuslines,Số 189 trên 346 Phương tiện giao thông ở Hà Nội,Dịch vụ xe buýt,,,4,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12529981-Reviews-Interbuslines-Hanoi.html,2,5,0,1,1,0,3,4/21/2022,Hà Nội
MK Spa,Số 34 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,85,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12529969-Reviews-MK_Spa-Hanoi.html,5,681,646,20,10,4,1,4/21/2022,Hà Nội
Quán The Nest - Board Game Cafe,Số 7 trên 101 Vui chơi & Giải trí ở Hà Nội,Trung tâm trò chơi & giải trí,Đang mở cửa,08:00 - 23:00,32,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12454034-Reviews-The_Nest_Board_Game_Cafe-Hanoi.html,4.5,53,42,8,1,2,0,4/21/2022,Hà Nội
Xe Transfer Service,Số 192 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12387603-Reviews-Xe_Transfer_Service-Hanoi.html,1,2,0,0,0,0,2,4/21/2022,Hà Nội
Rec Room Hanoi,Số 24 trên 30 Nhà hát & hòa nhạc ở Hà Nội,Quầy bar Blues • Quầy bar có nhạc jazz • Câu lạc bộ khiêu vũ & vũ trường,Đang đóng cửa,16:00 - 00:00,11,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12374467-Reviews-Rec_Room_Hanoi-Hanoi.html,5,5,5,0,0,0,0,4/21/2022,Hà Nội
Cửa Hàng Đồ Gốm Cerender,Số 7 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 21:00,302,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12279224-Reviews-Cerender_Ceramic_Shop-Hanoi.html,5,191,176,11,2,1,1,4/21/2022,Hà Nội
Taxi Rỗng,Số 342 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,Đang mở cửa,00:00 - 23:59,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12273352-Reviews-Taxi_Rong-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Taxi ABC,Số 187 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12149954-Reviews-ABC_Taxi-Hanoi.html,2.5,9,0,3,2,0,4,4/21/2022,Hà Nội
Chùa Cầu Đông,Số 134 trong 259 hoạt động giải trí tại Hà Nội,Địa điểm tôn giáo,,,17,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12110601-Reviews-Chua_Cau_Dong-Hanoi.html,3.5,13,1,3,9,0,0,4/21/2022,Hà Nội
Bát Tràng Gaia,Số 264 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,08:00 - 18:00,4,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12058295-Reviews-Bat_Trang_GAIA-Hanoi.html,4,1,0,1,0,0,0,4/21/2022,Hà Nội
Hanoi Boutique Spa,Số 260 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,5,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12006359-Reviews-Hanoi_Boutique_Spa-Hanoi.html,2.5,3,0,1,1,0,1,4/21/2022,Hà Nội
Lucy's Dream,Số 161 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,15,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12004682-Reviews-Lucy_s_Dream-Hanoi.html,5,4,4,0,0,0,0,4/21/2022,Hà Nội
Tiệm An Hà Nội,Số 168 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 21:00,6,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12001726-Reviews-An_Store_Hanoi-Hanoi.html,4.5,3,2,1,0,0,0,4/21/2022,Hà Nội
Sapa Limousine Bus,Số 196 trên 346 Phương tiện giao thông ở Hà Nội,Dịch vụ xe buýt,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11965123-Reviews-Sapa_Limousine_Bus-Hanoi.html,2,8,1,1,0,0,6,4/21/2022,Hà Nội
Sông Hồng,Số 146 trong 259 hoạt động giải trí tại Hà Nội,Vùng nước,,,15,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11963799-Reviews-Red_River-Hanoi.html,3.5,15,1,3,10,1,0,4/21/2022,Hà Nội
Tòa Nhà Quốc Hội Việt Nam,Số 208 trong 259 hoạt động giải trí tại Hà Nội,Tòa nhà kiến trúc • Tòa nhà chính phủ,Đang mở cửa,10:00 - 16:00,3,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11950322-Reviews-Vietnamese_National_Assembly-Hanoi.html,3,4,0,0,3,1,0,4/21/2022,Hà Nội
Naboo Bar,Số 109 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,Đang mở cửa,00:00 - 23:59,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11880467-Reviews-Naboo_Bar-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
